CUSTOMER_NUMBER,CLIENT_SEX,STAFF_VIB,Age,net_lending,net_ca,net_td,avg_act,avg_trans,ytd_creditcard,open_creditcard,ytd_debitcard,open_debitcard
630178,F,N,24,0,-43851.98,11651612.9,105.1666667,2,0,0,1,0
643620,M,N,37,0,-301834.62,0,140.8,7,0,0,1,0
935065,M,N,25,0,-18661528.17,0,30.5,1,0,0,1,0
796616,M,N,20,0,903419.43,0,127.6666667,4.5,0,0,1,0
571047,M,N,29,0,-849796.77,0,100.6666667,8.5,0,0,1,0
999342,M,N,24,0,-2004.04,0,375.6666667,8.166666667,0,0,1,0
693700,F,N,22,0,74265.22,0,132.1666667,8.333333333,0,0,1,0
147781,M,N,29,0,25143.87,0,120.1666667,2.8,0,0,0,0
549929,M,N,22,0,6265400,0,50.16666667,0,0,0,1,0
471818,F,N,28,0,-81157406.45,-20322580.65,148.3333333,4,0,0,1,0
946770,M,N,34,0,-1171993.55,0,138.8333333,4.666666667,0,0,1,0
149919,F,N,42,-104922000,12356218.64,-233530870.3,57.33333333,7.25,1,1,1,0
672869,F,N,37,-7272000,96056.77,0,58.66666667,1.5,1,0,0,0
252064,M,N,34,0,-1359346.88,3548387.1,97.66666667,2.6,1,0,0,0
927742,F,N,26,0,9144190.05,0,125,6.333333333,0,0,1,0
77324,M,N,31,-7239000,0,0,290.1666667,0,1,0,0,0
8566,M,N,32,0,-61181610.75,0,79.5,9.666666667,0,0,1,0
737749,M,N,24,0,-35714.19,0,20.33333333,0,0,0,0,0
121797,F,N,28,0,1937505.38,0,33.66666667,6,0,0,1,0
717599,M,N,23,0,10349465.16,0,105.6666667,6,0,0,7,6
567214,M,N,28,0,-2464810.97,0,31.5,1,0,0,0,0
538852,M,N,18,0,306739.78,0,125.6666667,2,0,0,1,0
492132,M,N,34,98000000,-15317053.16,0,92.16666667,3.4,1,1,1,0
458641,M,N,49,0,-2561491.61,0,24,1,0,0,0,0
87386,F,N,29,0,-37882051.83,0,67.33333333,7.333333333,0,0,1,0
744065,M,N,31,0,-2864615.52,0,18.66666667,0,0,0,1,0
331859,F,Y,23,0,3558095.78,-217741935.5,184.1666667,6.833333333,0,0,1,0
896496,M,N,35,0,169339269.1,0,58.66666667,3.5,0,0,1,0
